Date,LBUSTRUU Index
1/30/1976,101.95
2/27/1976,102.72
3/31/1976,103.95
4/30/1976,104.53
5/28/1976,103.58
5/31/1976,103.58
6/30/1976,105.05
7/30/1976,106.28
8/31/1976,108.18
9/30/1976,109.67
10/29/1976,110.85
11/30/1976,113.53
12/31/1976,115.6
1/31/1977,113.38
2/28/1977,113.81
3/31/1977,114.66
4/29/1977,115.7
5/31/1977,116.5
6/30/1977,118.15
7/29/1977,118.08
8/31/1977,119.21
9/30/1977,119.21
10/31/1977,118.58
11/30/1977,119.64
12/30/1977,119.11
1/31/1978,118.83
2/28/1978,119.29
3/31/1978,119.67
4/28/1978,119.84
5/31/1978,119.3
6/30/1978,119.27
7/31/1978,120.63
8/31/1978,122.54
9/29/1978,122.49
10/31/1978,120.76
11/30/1978,121.94
12/29/1978,120.77
1/31/1979,123.03
2/28/1979,122.51
3/30/1979,123.77
4/30/1979,123.57
5/31/1979,125.88
6/29/1979,128.62
7/31/1979,128.68
8/31/1979,128.35
9/28/1979,127.01
10/31/1979,119.29
11/30/1979,122.77
12/31/1979,123.1
1/31/1980,119.35
2/28/1980,112.29
2/29/1980,112.29
3/31/1980,112.38
4/30/1980,125.12
5/30/1980,131.02
6/30/1980,133.49
7/31/1980,130.73
8/29/1980,126.05
9/30/1980,124.73
10/31/1980,123.3
11/28/1980,123.07
12/31/1980,126.43
1/30/1981,126.49
2/27/1981,124.09
3/31/1981,127.04
4/30/1981,122.51
5/29/1981,126.91
6/30/1981,126.62
7/31/1981,124.18
8/31/1981,121.56
9/30/1981,121.48
10/30/1981,128.59
11/30/1981,139.55
12/31/1981,134.33
1/29/1982,135.18
2/26/1982,137.82
3/31/1982,139.57
4/30/1982,143.48
5/28/1982,145.81
6/30/1982,143.52
7/30/1982,149.69
8/31/1982,157.86
9/30/1982,164.25
10/29/1982,172.95
11/30/1982,174.64
12/31/1982,178.15
1/31/1983,178.45
2/28/1983,183.57
3/31/1983,184.05
4/29/1983,189.18
5/31/1983,186.7
6/30/1983,186.9
7/29/1983,182.48
8/31/1983,183.75
9/30/1983,189.81
10/31/1983,190.49
11/30/1983,192.67
12/30/1983,193.04
1/31/1984,197.02
2/29/1984,196.01
3/30/1984,193.81
4/30/1984,193.43
5/31/1984,187.4
6/29/1984,189.8
7/31/1984,198.34
8/31/1984,201.68
9/28/1984,206.47
10/31/1984,215.23
11/30/1984,219.08
12/31/1984,222.28
1/31/1985,227.34
2/28/1985,222.69
3/29/1985,227.23
4/30/1985,231.93
5/31/1985,244.05
6/28/1985,246.63
7/31/1985,245.77
8/30/1985,250.39
9/30/1985,251.9
10/31/1985,257.18
11/29/1985,263.36
12/31/1985,271.41
1/31/1986,272.92
2/28/1986,283.68
3/31/1986,292.49
4/30/1986,294.04
5/30/1986,288.42
6/30/1986,295.97
7/31/1986,298.59
8/29/1986,306.01
9/30/1986,302.99
10/31/1986,307.37
11/28/1986,311.67
12/31/1986,312.84
1/30/1987,317.25
2/27/1987,319.45
3/31/1987,318.01
4/30/1987,309.29
5/29/1987,308.08
6/30/1987,312.32
7/31/1987,312.08
8/31/1987,310.41
9/30/1987,303.8
10/30/1987,314.62
11/30/1987,317.14
12/31/1987,321.46
1/29/1988,332.76
2/29/1988,336.71
3/31/1988,333.55
4/29/1988,331.75
5/31/1988,329.52
6/30/1988,337.47
7/29/1988,335.7
8/31/1988,336.58
9/30/1988,344.2
10/31/1988,350.68
11/30/1988,346.42
12/30/1988,346.81
1/3/1989,346.18
1/4/1989,346.53
1/5/1989,345.91
1/6/1989,346.18
1/9/1989,346.7
1/10/1989,346.88
1/11/1989,347.12
1/12/1989,348.58
1/13/1989,350.07
1/17/1989,350.24
1/18/1989,350.97
1/19/1989,351.04
1/20/1989,350.8
1/23/1989,351.46
1/24/1989,352.71
1/25/1989,352.01
1/26/1989,351.73
1/27/1989,352.64
1/30/1989,352.05
1/31/1989,351.8
2/1/1989,352.19
2/2/1989,352.51
2/3/1989,352.23
2/6/1989,352.37
2/7/1989,353.07
2/8/1989,353.18
2/9/1989,351.38
2/10/1989,350.47
2/13/1989,350.08
2/14/1989,349.69
2/15/1989,349.69
2/16/1989,349.97
2/17/1989,350.29
2/21/1989,350.61
2/22/1989,349.52
2/23/1989,348.39
2/24/1989,348.18
2/27/1989,348.64
2/28/1989,349.25
3/1/1989,348.99
3/2/1989,349.58
3/3/1989,349.93
3/6/1989,350.88
3/7/1989,350.88
3/8/1989,351.37
3/9/1989,351.26
3/10/1989,349.65
3/13/1989,349.86
3/14/1989,350.28
3/15/1989,350.28
3/16/1989,350.42
3/17/1989,347.49
3/20/1989,347.21
3/21/1989,347.03
3/22/1989,348.22
3/23/1989,348.68
3/27/1989,348.92
3/28/1989,349.17
3/29/1989,350
3/30/1989,350.32
3/31/1989,350.76
4/3/1989,352.11
4/4/1989,353.05
4/5/1989,353.26
4/6/1989,352.91
